Round,Global_Accuracy,Global_F1,Personalized_Accuracy,Personalized_F1,KD_Accuracy,KD_F1
1,0.9058823585510254,0.9183673469387755,0.929411768913269,0.9361702127659575,0.929411768913269,0.9361702127659575
2,0.929411768913269,0.9347826086956522,0.929411768913269,0.9347826086956522,0.929411768913269,0.9347826086956522
3,0.929411768913269,0.9347826086956522,0.9411764740943909,0.945054945054945,0.9411764740943909,0.945054945054945
4,0.9176470637321472,0.924731182795699,0.9411764740943909,0.945054945054945,0.9411764740943909,0.945054945054945
5,0.9176470637321472,0.924731182795699,0.9411764740943909,0.946236559139785,0.9411764740943909,0.946236559139785
6,0.9176470637321472,0.924731182795699,0.9529411792755127,0.9565217391304347,0.9529411792755127,0.9565217391304347
7,0.929411768913269,0.9361702127659575,0.9529411792755127,0.9565217391304347,0.9529411792755127,0.9565217391304347
8,0.929411768913269,0.9361702127659575,0.9647058844566345,0.967032967032967,0.9647058844566345,0.967032967032967
9,0.929411768913269,0.9361702127659575,0.9647058844566345,0.967032967032967,0.9647058844566345,0.967032967032967
10,0.9411764740943909,0.946236559139785,0.9647058844566345,0.967032967032967,0.9647058844566345,0.967032967032967
