Round,Global_Accuracy,Global_F1,Personalized_Accuracy,Personalized_F1,KD_Accuracy,KD_F1
1,0.8684210777282715,0.8148148148148148,0.9078947305679321,0.8571428571428572,0.9078947305679321,0.8571428571428572
2,0.9078947305679321,0.8571428571428572,0.9605262875556946,0.9333333333333332,0.9605262875556946,0.9333333333333332
3,0.9473684430122375,0.9130434782608695,0.9605262875556946,0.9333333333333332,0.9605262875556946,0.9333333333333332
4,0.9473684430122375,0.9130434782608695,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348
5,0.9473684430122375,0.9166666666666666,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348
6,0.9605262875556946,0.9361702127659575,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348
7,0.9605262875556946,0.9361702127659575,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348
8,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348
9,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348
10,0.9736841917037964,0.9565217391304348,0.9736841917037964,0.9565217391304348,0.9868420958518982,0.9777777777777777
