Round,Accuracy,F1_Score
1,0.9298245906829834,0.9452054794520549
2,0.9561403393745422,0.965034965034965
3,0.9649122953414917,0.971830985915493
4,0.9649122953414917,0.971830985915493
5,0.9561403393745422,0.965034965034965
6,0.9561403393745422,0.965034965034965
7,0.9736841917037964,0.9787234042553192
8,0.9736841917037964,0.9787234042553192
9,0.9736841917037964,0.9787234042553192
10,0.9649122953414917,0.9714285714285714
