Round,Global_Accuracy,Global_F1,Personalized_Accuracy,Personalized_F1,KD_Accuracy,KD_F1
1,0.9473684430122375,0.9640287769784172,0.9473684430122375,0.9640287769784172,0.9473684430122375,0.9640287769784172
2,0.9368420839309692,0.9565217391304348,0.9473684430122375,0.9640287769784172,0.9368420839309692,0.9565217391304348
3,0.9368420839309692,0.9558823529411765,0.9684210419654846,0.9781021897810219,0.9684210419654846,0.9781021897810219
4,0.9473684430122375,0.9635036496350365,0.9789473414421082,0.9855072463768115,0.9789473414421082,0.9855072463768115
5,0.9789473414421082,0.9855072463768115,0.9789473414421082,0.9855072463768115,0.9789473414421082,0.9855072463768115
6,0.9789473414421082,0.9855072463768115,0.9894737005233765,0.9927007299270074,0.9894737005233765,0.9927007299270074
7,0.9789473414421082,0.9855072463768115,1.0,1.0,0.9894737005233765,0.9927007299270074
8,0.9789473414421082,0.9855072463768115,0.9894737005233765,0.9927007299270074,1.0,1.0
9,0.9789473414421082,0.9855072463768115,0.9894737005233765,0.9927007299270074,0.9894737005233765,0.9927007299270074
10,0.9894737005233765,0.9927007299270074,1.0,1.0,1.0,1.0
